ID_Venta;Producto_Ing;Producto;Categoría_Ing;Categoría;Precio;Cantidad;Edad;Género_Ing;Género;Descuento;Método de Pago_Ing;Descuento_Aplicado;Cantidad_Descontada;Método de Pago;Región_Ing;Región;Fecha_Venta;Ventas_Totales;Rango_Edad
54;Tablet;Tablet;Electronics;Electrónica;1.079,47 €;1;61;Female;Femenino;29%;Debit Card;Si;313,05 €;Tarjeta de Débito;South America;América del Sur;15/3/24;766,42 €;Tercera Edad
55;Tablet;Tablet;Electronics;Electrónica;1.371,17 €;1;27;Male;Masculino;27%;Debit Card;Si;370,22 €;Tarjeta de Débito;Europe;Europa;17/11/23;1.000,95 €;Adultos
56;Smartphone;Móvil Inteligente;Electronics;Electrónica;816,79 €;1;44;Female;Femenino;5%;Debit Card;Si;40,84 €;Tarjeta de Débito;Africa;África;16/11/24;775,95 €;Adultos Mayores
57;Tablet;Tablet;Electronics;Electrónica;578,38 €;8;46;Male;Masculino;7%;Bank Transfer;Si;323,89 €;Transferencia Bancaria;Europe;Europa;25/10/24;4.303,15 €;Adultos Mayores
58;Laptop;Portátil;Electronics;Electrónica;717,90 €;5;41;Female;Femenino;26%;Bank Transfer;Si;933,27 €;Transferencia Bancaria;Europe;Europa;1/4/23;2.656,23 €;Adultos Mayores
59;Tablet;Tablet;Electronics;Electrónica;914,04 €;5;29;Male;Masculino;25%;Bank Transfer;Si;1.142,55 €;Transferencia Bancaria;Asia;Asia;21/6/23;3.427,65 €;Adultos
60;Tablet;Tablet;Electronics;Electrónica;311,24 €;7;53;Male;Masculino;4%;Debit Card;Si;87,15 €;Tarjeta de Débito;Africa;África;27/2/23;2.091,53 €;Adultos Mayores
61;Laptop;Portátil;Electronics;Electrónica;1.499,90 €;8;48;Male;Masculino;10%;Debit Card;Si;1.199,92 €;Tarjeta de Débito;Asia;Asia;23/10/23;10.799,28 €;Adultos Mayores
62;Tablet;Tablet;Electronics;Electrónica;112,38 €;9;29;Male;Masculino;29%;Credit Card;Si;293,31 €;Tarjeta de Crédito;South America;América del Sur;25/12/24;718,11 €;Adultos
63;Laptop;Portátil;Electronics;Electrónica;628,66 €;8;34;Female;Femenino;1%;Debit Card;Si;50,29 €;Tarjeta de Débito;Africa;África;9/10/24;4.978,99 €;Adultos
64;Headphones;Auriculares;Accessories;Accesorios;309,16 €;3;58;Male;Masculino;25%;Debit Card;Si;231,87 €;Tarjeta de Débito;Africa;África;29/12/24;695,61 €;Adultos Mayores
65;Headphones;Auriculares;Accessories;Accesorios;1.296,47 €;1;50;Male;Masculino;6%;PayPal;Si;77,79 €;Paypal;Africa;África;21/2/23;1.218,68 €;Adultos Mayores
66;Laptop;Portátil;Electronics;Electrónica;1.130,69 €;6;47;Male;Masculino;15%;Bank Transfer;Si;1.017,62 €;Transferencia Bancaria;Asia;Asia;9/11/24;5.766,52 €;Adultos Mayores
67;Laptop;Portátil;Electronics;Electrónica;289,04 €;4;22;Female;Femenino;20%;PayPal;Si;231,23 €;Paypal;Africa;África;27/6/24;924,93 €;Jóvenes
68;Laptop;Portátil;Electronics;Electrónica;867,08 €;5;59;Male;Masculino;22%;Debit Card;Si;953,79 €;Tarjeta de Débito;South America;América del Sur;25/3/24;3.381,61 €;Adultos Mayores
69;Smartphone;Móvil Inteligente;Electronics;Electrónica;458,03 €;1;54;Male;Masculino;8%;Debit Card;Si;36,64 €;Tarjeta de Débito;Africa;África;29/9/23;421,39 €;Adultos Mayores
70;Smartphone;Móvil Inteligente;Electronics;Electrónica;985,89 €;2;45;Female;Femenino;7%;PayPal;Si;138,02 €;Paypal;Asia;Asia;11/2/23;1.833,76 €;Adultos Mayores
71;Smartphone;Móvil Inteligente;Electronics;Electrónica;198,84 €;1;42;Female;Femenino;24%;Debit Card;Si;47,72 €;Tarjeta de Débito;North America;América del Norte;15/6/24;151,12 €;Adultos Mayores
72;Headphones;Auriculares;Accessories;Accesorios;423,97 €;10;55;Female;Femenino;12%;Debit Card;Si;508,76 €;Tarjeta de Débito;North America;América del Norte;8/11/24;3.730,94 €;Adultos Mayores
73;Laptop;Portátil;Electronics;Electrónica;340,73 €;10;35;Female;Femenino;17%;Bank Transfer;Si;579,24 €;Transferencia Bancaria;North America;América del Norte;10/11/24;2.828,06 €;Adultos
74;Tablet;Tablet;Electronics;Electrónica;1.321,27 €;10;58;Male;Masculino;21%;Debit Card;Si;2.774,67 €;Tarjeta de Débito;North America;América del Norte;17/11/23;10.438,03 €;Adultos Mayores
75;Tablet;Tablet;Electronics;Electrónica;132,00 €;8;56;Male;Masculino;20%;Debit Card;Si;211,20 €;Tarjeta de Débito;South America;América del Sur;9/12/24;844,80 €;Adultos Mayores
76;Laptop;Portátil;Electronics;Electrónica;1.060,16 €;7;34;Female;Femenino;6%;Credit Card;Si;445,27 €;Tarjeta de Crédito;Europe;Europa;18/2/24;6.975,85 €;Adultos
77;Tablet;Tablet;Electronics;Electrónica;790,01 €;8;55;Female;Femenino;1%;Debit Card;Si;63,20 €;Tarjeta de Débito;North America;América del Norte;8/4/23;6.256,88 €;Adultos Mayores
78;Laptop;Portátil;Electronics;Electrónica;1.335,25 €;8;57;Female;Femenino;2%;Debit Card;Si;213,64 €;Tarjeta de Débito;Africa;África;13/3/24;10.468,36 €;Adultos Mayores
79;Tablet;Tablet;Electronics;Electrónica;264,59 €;3;30;Male;Masculino;2%;Credit Card;Si;15,88 €;Tarjeta de Crédito;North America;América del Norte;17/8/23;777,89 €;Adultos
80;Laptop;Portátil;Electronics;Electrónica;689,39 €;8;42;Female;Femenino;8%;PayPal;Si;441,21 €;Paypal;Asia;Asia;23/6/24;5.073,91 €;Adultos Mayores
81;Smartwatch;Reloj Inteligente;Electronics;Electrónica;425,23 €;6;30;Female;Femenino;1%;Credit Card;Si;25,51 €;Tarjeta de Crédito;Europe;Europa;15/9/24;2.525,87 €;Adultos
82;Smartwatch;Reloj Inteligente;Electronics;Electrónica;136,45 €;5;57;Male;Masculino;9%;Debit Card;Si;61,40 €;Tarjeta de Débito;North America;América del Norte;26/8/23;620,85 €;Adultos Mayores
83;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.325,73 €;4;30;Female;Femenino;13%;Credit Card;Si;689,38 €;Tarjeta de Crédito;South America;América del Sur;25/3/23;4.613,54 €;Adultos
84;Tablet;Tablet;Electronics;Electrónica;1.253,06 €;8;48;Female;Femenino;9%;PayPal;Si;902,20 €;Paypal;South America;América del Sur;18/5/23;9.122,28 €;Adultos Mayores
85;Headphones;Auriculares;Accessories;Accesorios;1.118,81 €;1;56;Male;Masculino;21%;Debit Card;Si;234,95 €;Tarjeta de Débito;Africa;África;5/1/24;883,86 €;Adultos Mayores
86;Smartwatch;Reloj Inteligente;Electronics;Electrónica;530,07 €;10;57;Male;Masculino;4%;PayPal;Si;212,03 €;Paypal;North America;América del Norte;20/4/24;5.088,67 €;Adultos Mayores
87;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.125,14 €;8;23;Male;Masculino;28%;Credit Card;Si;2.520,31 €;Tarjeta de Crédito;Africa;África;11/2/24;6.480,81 €;Jóvenes
88;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.140,35 €;5;32;Female;Femenino;24%;Debit Card;Si;1.368,42 €;Tarjeta de Débito;Africa;África;11/7/23;4.333,33 €;Adultos
89;Headphones;Auriculares;Accessories;Accesorios;619,04 €;4;61;Male;Masculino;11%;PayPal;Si;272,38 €;Paypal;South America;América del Sur;28/1/24;2.203,78 €;Tercera Edad
90;Smartwatch;Reloj Inteligente;Electronics;Electrónica;560,69 €;1;56;Female;Femenino;2%;Credit Card;Si;11,21 €;Tarjeta de Crédito;North America;América del Norte;19/11/23;549,48 €;Adultos Mayores
91;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.153,73 €;10;57;Female;Femenino;13%;Debit Card;Si;1.499,85 €;Tarjeta de Débito;Africa;África;24/6/23;10.037,45 €;Adultos Mayores
92;Smartphone;Móvil Inteligente;Electronics;Electrónica;362,62 €;2;55;Female;Femenino;7%;Debit Card;Si;50,77 €;Tarjeta de Débito;Africa;África;6/4/24;674,47 €;Adultos Mayores
93;Headphones;Auriculares;Accessories;Accesorios;1.114,57 €;7;18;Female;Femenino;26%;Bank Transfer;Si;2.028,52 €;Transferencia Bancaria;Asia;Asia;16/1/24;5.773,47 €;Jóvenes
94;Headphones;Auriculares;Accessories;Accesorios;264,78 €;2;45;Male;Masculino;26%;Bank Transfer;Si;137,69 €;Transferencia Bancaria;Asia;Asia;25/6/24;391,87 €;Adultos Mayores
95;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.426,97 €;2;59;Male;Masculino;10%;Debit Card;Si;285,39 €;Tarjeta de Débito;Asia;Asia;9/12/24;2.568,55 €;Adultos Mayores
96;Smartphone;Móvil Inteligente;Electronics;Electrónica;173,21 €;7;52;Male;Masculino;23%;Credit Card;Si;278,87 €;Tarjeta de Crédito;Africa;África;11/7/23;933,60 €;Adultos Mayores
97;Tablet;Tablet;Electronics;Electrónica;1.499,79 €;3;48;Female;Femenino;6%;Bank Transfer;Si;269,96 €;Transferencia Bancaria;South America;América del Sur;12/5/23;4.229,41 €;Adultos Mayores
98;Laptop;Portátil;Electronics;Electrónica;1.061,94 €;5;61;Male;Masculino;12%;Bank Transfer;Si;637,16 €;Transferencia Bancaria;South America;América del Sur;16/12/24;4.672,54 €;Tercera Edad
99;Smartphone;Móvil Inteligente;Electronics;Electrónica;927,58 €;9;37;Female;Femenino;6%;Debit Card;Si;500,89 €;Tarjeta de Débito;South America;América del Sur;8/4/24;7.847,33 €;Adultos
100;Tablet;Tablet;Electronics;Electrónica;1.497,90 €;10;56;Female;Femenino;23%;Credit Card;Si;3.445,17 €;Tarjeta de Crédito;South America;América del Sur;25/1/24;11.533,83 €;Adultos Mayores
101;Tablet;Tablet;Electronics;Electrónica;730,88 €;5;43;Female;Femenino;13%;Debit Card;Si;475,07 €;Tarjeta de Débito;Africa;África;3/1/23;3.179,33 €;Adultos Mayores
102;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.122,35 €;7;30;Male;Masculino;10%;Bank Transfer;Si;785,65 €;Transferencia Bancaria;Africa;África;22/10/23;7.070,80 €;Adultos
103;Tablet;Tablet;Electronics;Electrónica;437,32 €;6;28;Male;Masculino;30%;Bank Transfer;Si;787,18 €;Transferencia Bancaria;South America;América del Sur;24/3/23;1.836,74 €;Adultos
104;Tablet;Tablet;Electronics;Electrónica;66,15 €;6;62;Female;Femenino;28%;Debit Card;Si;111,13 €;Tarjeta de Débito;South America;América del Sur;22/2/23;285,77 €;Tercera Edad
105;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.103,66 €;4;33;Male;Masculino;27%;Debit Card;Si;1.191,95 €;Tarjeta de Débito;Africa;África;25/9/24;3.222,69 €;Adultos
106;Tablet;Tablet;Electronics;Electrónica;963,45 €;10;35;Female;Femenino;14%;Bank Transfer;Si;1.348,83 €;Transferencia Bancaria;Europe;Europa;28/7/23;8.285,67 €;Adultos
107;Headphones;Auriculares;Accessories;Accesorios;66,31 €;9;61;Female;Femenino;16%;Debit Card;Si;95,49 €;Tarjeta de Débito;Europe;Europa;30/11/24;501,30 €;Tercera Edad
108;Smartphone;Móvil Inteligente;Electronics;Electrónica;743,22 €;2;63;Male;Masculino;5%;Credit Card;Si;74,32 €;Tarjeta de Crédito;South America;América del Sur;20/1/24;1.412,12 €;Tercera Edad
109;Headphones;Auriculares;Accessories;Accesorios;1.451,12 €;4;28;Female;Femenino;29%;Credit Card;Si;1.683,30 €;Tarjeta de Crédito;Asia;Asia;10/10/23;4.121,18 €;Adultos
110;Headphones;Auriculares;Accessories;Accesorios;851,75 €;6;26;Female;Femenino;28%;PayPal;Si;1.430,94 €;Paypal;North America;América del Norte;30/9/24;3.679,56 €;Adultos
111;Smartphone;Móvil Inteligente;Electronics;Electrónica;708,31 €;4;52;Male;Masculino;14%;Credit Card;Si;396,65 €;Tarjeta de Crédito;Europe;Europa;16/5/24;2.436,59 €;Adultos Mayores
112;Smartwatch;Reloj Inteligente;Electronics;Electrónica;111,26 €;6;30;Male;Masculino;13%;Bank Transfer;Si;86,78 €;Transferencia Bancaria;Europe;Europa;8/12/23;580,78 €;Adultos
113;Tablet;Tablet;Electronics;Electrónica;880,48 €;7;49;Female;Femenino;17%;Debit Card;Si;1.047,77 €;Tarjeta de Débito;North America;América del Norte;17/6/24;5.115,59 €;Adultos Mayores
114;Smartphone;Móvil Inteligente;Electronics;Electrónica;605,14 €;9;39;Male;Masculino;19%;Debit Card;Si;1.034,79 €;Tarjeta de Débito;Asia;Asia;13/8/23;4.411,47 €;Adultos
115;Headphones;Auriculares;Accessories;Accesorios;710,43 €;1;27;Female;Femenino;9%;Bank Transfer;Si;63,94 €;Transferencia Bancaria;Africa;África;5/1/24;646,49 €;Adultos
116;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.450,00 €;7;45;Female;Femenino;2%;Credit Card;Si;203,00 €;Tarjeta de Crédito;North America;América del Norte;19/8/24;9.947,00 €;Adultos Mayores
117;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.203,97 €;7;18;Female;Femenino;10%;PayPal;Si;842,78 €;Paypal;Asia;Asia;31/10/23;7.585,01 €;Jóvenes
118;Smartwatch;Reloj Inteligente;Electronics;Electrónica;463,68 €;3;37;Male;Masculino;27%;Debit Card;Si;375,58 €;Tarjeta de Débito;Asia;Asia;13/3/24;1.015,46 €;Adultos
119;Tablet;Tablet;Electronics;Electrónica;1.337,65 €;1;27;Male;Masculino;9%;Debit Card;Si;120,39 €;Tarjeta de Débito;North America;América del Norte;14/4/23;1.217,26 €;Adultos
120;Tablet;Tablet;Electronics;Electrónica;143,57 €;1;58;Male;Masculino;11%;Bank Transfer;Si;15,79 €;Transferencia Bancaria;North America;América del Norte;11/4/24;127,78 €;Adultos Mayores
121;Headphones;Auriculares;Accessories;Accesorios;905,96 €;7;56;Male;Masculino;17%;Credit Card;Si;1.078,09 €;Tarjeta de Crédito;Europe;Europa;7/5/23;5.263,63 €;Adultos Mayores
122;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.314,35 €;6;27;Male;Masculino;23%;Bank Transfer;Si;1.813,80 €;Transferencia Bancaria;Europe;Europa;12/9/24;6.072,30 €;Adultos
123;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.328,47 €;10;21;Female;Femenino;22%;Debit Card;Si;2.922,63 €;Tarjeta de Débito;North America;América del Norte;9/1/23;10.362,07 €;Jóvenes
124;Headphones;Auriculares;Accessories;Accesorios;518,32 €;9;54;Female;Femenino;14%;PayPal;Si;653,08 €;Paypal;Asia;Asia;18/12/24;4.011,80 €;Adultos Mayores
125;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.001,32 €;4;33;Female;Femenino;7%;Debit Card;Si;280,37 €;Tarjeta de Débito;South America;América del Sur;12/7/24;3.724,91 €;Adultos
126;Tablet;Tablet;Electronics;Electrónica;1.128,37 €;10;63;Female;Femenino;8%;Credit Card;Si;902,70 €;Tarjeta de Crédito;Asia;Asia;4/11/24;10.381,00 €;Tercera Edad
127;Smartwatch;Reloj Inteligente;Electronics;Electrónica;230,97 €;3;41;Male;Masculino;22%;Credit Card;Si;152,44 €;Tarjeta de Crédito;Europe;Europa;31/1/23;540,47 €;Adultos Mayores
128;Tablet;Tablet;Electronics;Electrónica;72,22 €;8;52;Female;Femenino;29%;Credit Card;Si;167,55 €;Tarjeta de Crédito;Asia;Asia;7/6/24;410,21 €;Adultos Mayores
129;Smartwatch;Reloj Inteligente;Electronics;Electrónica;162,64 €;10;32;Female;Femenino;11%;Debit Card;Si;178,90 €;Tarjeta de Débito;South America;América del Sur;1/6/24;1.447,50 €;Adultos
130;Smartphone;Móvil Inteligente;Electronics;Electrónica;759,69 €;6;51;Female;Femenino;12%;Debit Card;Si;546,98 €;Tarjeta de Débito;Africa;África;16/6/24;4.011,16 €;Adultos Mayores
131;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.495,02 €;4;35;Female;Femenino;16%;Debit Card;Si;956,81 €;Tarjeta de Débito;North America;América del Norte;5/1/25;5.023,27 €;Adultos
132;Headphones;Auriculares;Accessories;Accesorios;746,35 €;3;53;Female;Femenino;25%;Bank Transfer;Si;559,76 €;Transferencia Bancaria;North America;América del Norte;22/5/24;1.679,29 €;Adultos Mayores
133;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.277,28 €;2;42;Female;Femenino;2%;Credit Card;Si;51,09 €;Tarjeta de Crédito;South America;América del Sur;21/5/23;2.503,47 €;Adultos Mayores
