Venta_ID;Tipo de Producto;Categoria;Precio;Cantidad;Edad del Cliente;Género;Descuento;Método de Pago;Región;Fecha de Venta
74;Tablet;Electronics;132127;10;58;Male;21;Debit Card;North America;17/11/23
75;Tablet;Electronics;1320;8;56;Male;2;Debit Card;South America;9/12/24
76;Laptop;Electronics;106016;7;34;Female;6;Credit Card;Europe;18/2/24
77;Tablet;Electronics;79001;8;55;Female;1;Debit Card;North America;8/4/23
78;Laptop;Electronics;133525;8;57;Female;2;Debit Card;Africa;13/3/24
79;Tablet;Electronics;26459;3;30;Male;2;Credit Card;North America;17/8/23
80;Laptop;Electronics;68939;8;42;Female;8;PayPal;Asia;23/6/24
81;Smartwatch;Electronics;42523;6;30;Female;1;Credit Card;Europe;15/9/24
82;Smartwatch;Electronics;13645;5;57;Male;9;Debit Card;North America;26/8/23
83;Smartphone;Electronics;132573;4;30;Female;13;Credit Card;South America;25/3/23
84;Tablet;Electronics;125306;8;48;Female;9;PayPal;South America;18/5/23
85;Headphones;Accessories;111881;1;56;Male;21;Debit Card;Africa;5/1/24
86;Smartwatch;Electronics;53007;10;57;Male;4;PayPal;North America;20/4/24
87;Smartwatch;Electronics;112514;8;23;Male;28;Credit Card;Africa;11/2/24
88;Smartwatch;Electronics;114035;5;32;Female;24;Debit Card;Africa;11/7/23
89;Headphones;Accessories;61904;4;61;Male;11;PayPal;South America;28/1/24
90;Smartwatch;Electronics;56069;1;56;Female;2;Credit Card;North America;19/11/23
91;Smartwatch;Electronics;115373;10;57;Female;13;Debit Card;Africa;24/6/23
92;Smartphone;Electronics;36262;2;55;Female;7;Debit Card;Africa;6/4/24
93;Headphones;Accessories;111457;7;18;Female;26;Bank Transfer;Asia;16/1/24
94;Headphones;Accessories;26478;2;45;Male;26;Bank Transfer;Asia;25/6/24
95;Smartphone;Electronics;142697;2;59;Male;1;Debit Card;Asia;9/12/24
96;Smartphone;Electronics;17321;7;52;Male;23;Credit Card;Africa;11/7/23
97;Tablet;Electronics;149979;3;48;Female;6;Bank Transfer;South America;12/5/23
98;Laptop;Electronics;106194;5;61;Male;12;Bank Transfer;South America;16/12/24
99;Smartphone;Electronics;92758;9;37;Female;6;Debit Card;South America;8/4/24
100;Tablet;Electronics;14979;10;56;Female;23;Credit Card;South America;25/1/24
101;Tablet;Electronics;73088;5;43;Female;13;Debit Card;Africa;3/1/23
102;Smartwatch;Electronics;112235;7;30;Male;1;Bank Transfer;Africa;22/10/23
103;Tablet;Electronics;43732;6;28;Male;3;Bank Transfer;South America;24/3/23
104;Tablet;Electronics;6615;6;62;Female;28;Debit Card;South America;22/2/23
105;Smartphone;Electronics;110366;4;33;Male;27;Debit Card;Africa;25/9/24
106;Tablet;Electronics;96345;10;35;Female;14;Bank Transfer;Europe;28/7/23
107;Headphones;Accessories;6631;9;61;Female;16;Debit Card;Europe;30/11/24
108;Smartphone;Electronics;74322;2;63;Male;5;Credit Card;South America;20/1/24
109;Headphones;Accessories;145112;4;28;Female;29;Credit Card;Asia;10/10/23
110;Headphones;Accessories;85175;6;26;Female;28;PayPal;North America;30/9/24
111;Smartphone;Electronics;70831;4;52;Male;14;Credit Card;Europe;16/5/24
112;Smartwatch;Electronics;11126;6;30;Male;13;Bank Transfer;Europe;8/12/23
113;Tablet;Electronics;88048;7;49;Female;17;Debit Card;North America;17/6/24
114;Smartphone;Electronics;60514;9;39;Male;19;Debit Card;Asia;13/8/23
115;Headphones;Accessories;71043;1;27;Female;9;Bank Transfer;Africa;5/1/24
116;Smartwatch;Electronics;14500;7;45;Female;2;Credit Card;North America;19/8/24
117;Smartwatch;Electronics;120397;7;18;Female;1;PayPal;Asia;31/10/23
118;Smartwatch;Electronics;46368;3;37;Male;27;Debit Card;Asia;13/3/24
119;Tablet;Electronics;133765;1;27;Male;9;Debit Card;North America;14/4/23
120;Tablet;Electronics;14357;1;58;Male;11;Bank Transfer;North America;11/4/24
121;Headphones;Accessories;90596;7;56;Male;17;Credit Card;Europe;7/5/23
122;Smartwatch;Electronics;131435;6;27;Male;23;Bank Transfer;Europe;12/9/24
123;Smartphone;Electronics;132847;10;21;Female;22;Debit Card;North America;9/1/23
124;Headphones;Accessories;51832;9;54;Female;14;PayPal;Asia;18/12/24
125;Smartwatch;Electronics;100132;4;33;Female;7;Debit Card;South America;12/7/24
126;Tablet;Electronics;112837;10;63;Female;8;Credit Card;Asia;4/11/24
127;Smartwatch;Electronics;23097;3;41;Male;22;Credit Card;Europe;31/1/23
128;Tablet;Electronics;7222;8;52;Female;29;Credit Card;Asia;7/6/24
129;Smartwatch;Electronics;16264;10;32;Female;11;Debit Card;South America;1/6/24
130;Smartphone;Electronics;75969;6;51;Female;12;Debit Card;Africa;16/6/24
131;Smartwatch;Electronics;149502;4;35;Female;16;Debit Card;North America;5/1/25
132;Headphones;Accessories;74635;3;53;Female;25;Bank Transfer;North America;22/5/24
133;Smartwatch;Electronics;127728;2;42;Female;2;Credit Card;South America;21/5/23
134;Laptop;Electronics;3293;7;28;Female;8;Credit Card;South America;7/4/24
135;Laptop;Electronics;20022;1;26;Female;1;PayPal;South America;28/7/24
136;Headphones;Accessories;77935;5;26;Male;29;Credit Card;North America;11/2/24
137;Smartphone;Electronics;141983;10;37;Male;2;PayPal;North America;4/8/23
138;Smartphone;Electronics;8565;9;63;Female;0;Bank Transfer;South America;23/1/23
139;Laptop;Electronics;79633;7;39;Female;1;PayPal;North America;13/3/24
140;Headphones;Accessories;112301;5;30;Female;5;Bank Transfer;North America;6/12/24
141;Smartphone;Electronics;8681;8;64;Male;27;Debit Card;South America;12/4/23
142;Laptop;Electronics;119695;6;33;Female;1;Credit Card;Europe;14/10/23
143;Smartwatch;Electronics;106317;5;23;Female;18;PayPal;North America;11/9/24
144;Laptop;Electronics;92586;3;40;Male;26;Credit Card;Asia;10/9/24
145;Smartwatch;Electronics;31578;5;45;Female;5;PayPal;Europe;31/1/23
146;Tablet;Electronics;109492;1;26;Female;21;PayPal;Africa;11/1/25
147;Laptop;Electronics;146452;10;56;Male;0;Credit Card;Asia;24/2/23
148;Smartwatch;Electronics;11260;7;42;Female;1;Debit Card;North America;14/4/23
149;Laptop;Electronics;117801;5;50;Female;23;Bank Transfer;Asia;19/4/24
150;Smartphone;Electronics;45159;9;46;Male;23;Bank Transfer;Asia;8/1/24
151;Headphones;Accessories;115517;7;32;Female;22;Debit Card;Africa;19/7/23
152;Smartwatch;Electronics;141081;10;26;Male;26;Bank Transfer;Asia;23/6/23
153;Smartphone;Electronics;124054;3;39;Male;1;PayPal;North America;11/1/25
154;Headphones;Accessories;142423;3;44;Female;27;PayPal;Africa;9/3/24
155;Laptop;Electronics;55525;6;24;Male;25;Debit Card;Europe;30/12/24
156;Smartphone;Electronics;12678;4;62;Female;16;Bank Transfer;Asia;23/7/23
157;Tablet;Electronics;98422;8;29;Male;21;Bank Transfer;South America;16/8/24
158;Headphones;Accessories;57557;7;35;Male;25;Bank Transfer;Asia;19/4/24
159;Smartwatch;Electronics;114423;3;31;Female;17;PayPal;North America;8/12/23
160;Headphones;Accessories;14162;3;65;Male;16;Bank Transfer;Africa;11/1/25
161;Laptop;Electronics;4974;3;30;Female;11;Bank Transfer;North America;13/4/24
162;Smartwatch;Electronics;94148;8;26;Female;3;Bank Transfer;Asia;23/4/23
163;Smartwatch;Electronics;59505;3;36;Male;21;Credit Card;North America;23/2/23
164;Laptop;Electronics;10495;7;34;Female;8;Debit Card;North America;20/5/24
165;Headphones;Accessories;140413;4;61;Female;19;Debit Card;Asia;13/1/24
166;Laptop;Electronics;140911;3;60;Male;2;Debit Card;Europe;25/10/24
167;Smartwatch;Electronics;117903;10;45;Male;21;Debit Card;North America;30/3/23
168;Tablet;Electronics;115592;10;55;Male;25;Credit Card;Europe;21/9/23
169;Tablet;Electronics;43281;6;45;Female;21;Debit Card;North America;25/3/23
170;Headphones;Accessories;19189;5;33;Male;22;Debit Card;Asia;16/9/23
171;Tablet;Electronics;76854;6;44;Male;14;Credit Card;Asia;6/5/24
172;Laptop;Electronics;118461;1;28;Female;0;Credit Card;North America;20/8/23
173;Smartwatch;Electronics;100578;3;44;Male;1;Bank Transfer;South America;15/1/25
174;Smartwatch;Electronics;89593;6;65;Female;1;Bank Transfer;Asia;29/11/23
175;Headphones;Accessories;142491;10;41;Male;3;Credit Card;Africa;19/1/25
176;Headphones;Accessories;85087;2;56;Male;25;Bank Transfer;North America;27/2/23
177;Laptop;Electronics;111679;8;30;Female;27;PayPal;South America;17/2/23
178;Headphones;Accessories;103978;3;36;Female;12;Debit Card;Africa;29/9/24
179;Laptop;Electronics;104787;6;23;Female;22;Debit Card;Asia;11/6/23
180;Headphones;Accessories;48832;6;34;Male;7;Bank Transfer;North America;8/6/24
181;Laptop;Electronics;24685;4;19;Female;27;Credit Card;Africa;19/11/24
182;Laptop;Electronics;87012;8;48;Male;29;Debit Card;Europe;5/4/23
183;Smartphone;Electronics;135969;3;62;Male;1;Bank Transfer;Europe;8/1/23
184;Laptop;Electronics;99193;7;58;Male;21;Bank Transfer;Asia;19/4/24
185;Laptop;Electronics;16147;9;61;Male;12;PayPal;North America;25/2/23
186;Laptop;Electronics;144086;4;33;Female;4;Credit Card;South America;14/8/24
187;Smartwatch;Electronics;135262;2;20;Male;15;PayPal;South America;17/3/23
188;Smartphone;Electronics;18855;4;36;Male;25;Debit Card;Asia;21/11/23
189;Tablet;Electronics;85809;9;20;Male;28;Bank Transfer;South America;15/8/24
190;Headphones;Accessories;64164;6;41;Male;4;Credit Card;Europe;25/7/23
191;Smartphone;Electronics;59485;10;39;Female;21;Bank Transfer;Europe;17/12/23
192;Headphones;Accessories;12868;7;54;Male;28;Credit Card;South America;31/7/23
193;Smartwatch;Electronics;140662;1;44;Female;1;Debit Card;Africa;2/5/24
194;Headphones;Accessories;127914;10;62;Male;6;PayPal;South America;4/8/23
195;Tablet;Electronics;27125;6;21;Female;24;Credit Card;North America;20/11/24
196;Tablet;Electronics;53833;9;41;Female;5;Debit Card;Asia;9/11/23
197;Smartphone;Electronics;74017;9;61;Female;13;PayPal;Europe;28/4/23
198;Smartwatch;Electronics;97143;2;52;Male;29;PayPal;Europe;4/10/24
199;Tablet;Electronics;54236;3;65;Female;17;Debit Card;South America;12/10/24
200;Smartwatch;Electronics;53065;7;22;Male;4;Debit Card;North America;9/5/23
201;Tablet;Electronics;98721;7;57;Male;14;PayPal;South America;7/12/23
202;Headphones;Accessories;126465;4;35;Female;5;PayPal;South America;21/4/23
203;Laptop;Electronics;108631;4;28;Male;9;Bank Transfer;Europe;21/12/24
204;Tablet;Electronics;47117;9;38;Male;8;PayPal;Asia;12/8/23
205;Laptop;Electronics;63311;1;44;Male;23;Bank Transfer;Asia;5/1/23
206;Headphones;Accessories;136738;10;40;Female;21;Credit Card;Africa;27/1/24
207;Tablet;Electronics;135975;7;33;Male;0;Debit Card;South America;20/1/25
208;Smartphone;Electronics;129069;2;39;Male;4;PayPal;North America;23/3/24
209;Smartphone;Electronics;4599;8;40;Male;0;Credit Card;North America;12/10/23
210;Smartphone;Electronics;137795;6;58;Female;11;PayPal;Asia;2/3/24
211;Headphones;Accessories;99093;8;59;Female;4;Debit Card;South America;10/1/23
212;Tablet;Electronics;8276;3;64;Female;23;Bank Transfer;North America;26/12/24
213;Smartwatch;Electronics;122184;3;31;Female;24;Bank Transfer;Asia;6/3/24
214;Tablet;Electronics;10724;2;59;Female;5;Debit Card;North America;13/11/24
215;Headphones;Accessories;13248;7;28;Female;4;Debit Card;Europe;15/5/23
216;Smartwatch;Electronics;92137;10;51;Female;17;PayPal;Europe;31/3/24
217;Laptop;Electronics;147505;1;24;Female;29;PayPal;Asia;4/2/23
218;Tablet;Electronics;95107;10;56;Male;23;Bank Transfer;Asia;26/2/24
219;Smartphone;Electronics;61661;6;59;Female;21;Credit Card;South America;19/1/25
220;Smartphone;Electronics;18153;10;36;Male;5;Bank Transfer;South America;19/11/24
221;Headphones;Accessories;122026;8;54;Female;7;Bank Transfer;Asia;28/5/23
222;Smartphone;Electronics;65693;2;54;Male;5;PayPal;Europe;18/12/24
223;Headphones;Accessories;128984;9;38;Female;15;Bank Transfer;Asia;3/7/23
224;Laptop;Electronics;34781;3;37;Male;0;Debit Card;North America;9/2/24
225;Tablet;Electronics;106978;7;61;Male;13;Debit Card;North America;21/10/23
226;Smartphone;Electronics;32244;10;54;Female;3;Bank Transfer;Africa;5/3/24
227;Tablet;Electronics;51403;5;20;Female;18;PayPal;Europe;10/7/24
228;Headphones;Accessories;92603;8;41;Female;19;PayPal;Africa;22/12/23
229;Laptop;Electronics;128631;8;25;Female;16;Bank Transfer;North America;21/6/23
230;Tablet;Electronics;148586;2;59;Male;0;Bank Transfer;South America;27/5/23
231;Smartwatch;Electronics;21295;7;48;Female;25;PayPal;South America;31/8/23
232;Smartwatch;Electronics;32301;7;31;Female;22;Debit Card;Africa;12/7/23
233;Smartphone;Electronics;74761;4;65;Female;5;Debit Card;North America;26/12/23
234;Smartwatch;Electronics;135224;9;43;Female;1;PayPal;Asia;14/3/23
235;Laptop;Electronics;25725;1;52;Male;21;Bank Transfer;North America;26/6/24
236;Smartphone;Electronics;87953;9;37;Male;21;Debit Card;Africa;10/12/24
237;Smartwatch;Electronics;126059;9;18;Male;9;PayPal;South America;21/8/24
238;Smartphone;Electronics;111368;7;30;Male;25;PayPal;Asia;23/10/23
239;Tablet;Electronics;132794;5;64;Female;3;PayPal;South America;25/4/24
240;Tablet;Electronics;64098;2;46;Female;26;Credit Card;South America;26/10/23
241;Laptop;Electronics;15962;4;55;Female;1;Credit Card;South America;20/9/24
242;Smartwatch;Electronics;128469;1;52;Male;13;Credit Card;Europe;29/10/24
243;Tablet;Electronics;56303;2;45;Male;19;Credit Card;Africa;13/3/24
244;Headphones;Accessories;62208;1;24;Female;17;Credit Card;South America;24/5/24
245;Laptop;Electronics;9011;5;25;Female;21;Credit Card;Europe;22/5/23
246;Smartphone;Electronics;49535;9;61;Female;21;Bank Transfer;Asia;17/5/23
247;Headphones;Accessories;127495;7;26;Female;24;Credit Card;South America;24/2/24
248;Smartphone;Electronics;20798;6;34;Female;25;Bank Transfer;Africa;18/9/23
249;Laptop;Electronics;21726;10;52;Male;23;Credit Card;Asia;13/8/23
250;Headphones;Accessories;50993;5;22;Female;21;Debit Card;Africa;17/4/24
251;Laptop;Electronics;18077;1;33;Male;1;PayPal;Europe;7/11/24
252;Headphones;Accessories;11883;5;61;Male;24;Debit Card;Europe;5/8/24
253;Laptop;Electronics;141663;6;60;Male;27;PayPal;Asia;20/12/24
254;Smartwatch;Electronics;9674;2;34;Male;12;Debit Card;North America;27/2/23
255;Smartwatch;Electronics;61791;1;50;Female;16;Debit Card;North America;22/1/25
256;Headphones;Accessories;18311;8;53;Male;3;Credit Card;Asia;17/5/24
257;Smartphone;Electronics;134761;4;52;Female;27;Credit Card;South America;8/4/23
258;Headphones;Accessories;46038;1;40;Male;18;PayPal;North America;17/6/24
259;Tablet;Electronics;93557;9;50;Female;2;Bank Transfer;Asia;28/8/24
260;Headphones;Accessories;134719;4;50;Female;7;PayPal;Asia;20/4/24
261;Tablet;Electronics;64456;7;37;Female;2;Debit Card;Europe;10/1/23
262;Tablet;Electronics;127676;7;62;Male;2;Bank Transfer;Africa;26/4/23
263;Smartwatch;Electronics;12541;1;20;Male;14;Debit Card;Europe;29/1/24
264;Laptop;Electronics;7677;4;20;Female;2;Bank Transfer;South America;13/5/24
265;Headphones;Accessories;100564;5;23;Male;25;Credit Card;South America;30/8/24
266;Laptop;Electronics;106239;9;37;Male;17;Bank Transfer;Africa;18/6/23
267;Laptop;Electronics;52789;10;65;Male;12;Bank Transfer;Europe;27/2/23
268;Smartwatch;Electronics;91072;8;40;Female;0;PayPal;South America;1/1/25
269;Smartwatch;Electronics;131123;6;24;Female;18;PayPal;Europe;7/1/24
270;Smartwatch;Electronics;132186;10;58;Female;17;Credit Card;Africa;26/10/24
271;Smartphone;Electronics;44524;9;18;Female;28;Credit Card;North America;3/6/24
272;Tablet;Electronics;13304;10;20;Female;8;Credit Card;Asia;14/10/23
273;Headphones;Accessories;120966;2;24;Female;2;Credit Card;South America;12/1/24
274;Smartphone;Electronics;11902;1;64;Female;19;Credit Card;Africa;22/1/24
275;Smartwatch;Electronics;141286;10;19;Female;24;PayPal;Africa;12/4/23
276;Tablet;Electronics;7048;2;29;Female;3;PayPal;Africa;29/6/23
277;Smartwatch;Electronics;81005;8;57;Female;26;Debit Card;South America;15/6/24
278;Headphones;Accessories;16471;7;41;Female;5;Credit Card;Africa;6/4/24
279;Smartwatch;Electronics;79802;4;58;Male;5;PayPal;South America;14/12/23
280;Smartphone;Electronics;64873;2;29;Female;17;Bank Transfer;Asia;8/9/23
281;Smartphone;Electronics;103631;9;52;Female;14;Debit Card;South America;25/11/23
282;Laptop;Electronics;110804;7;19;Male;23;PayPal;Africa;5/3/23
283;Laptop;Electronics;90957;4;29;Male;1;Credit Card;Asia;13/1/23
284;Laptop;Electronics;60849;2;50;Male;1;Bank Transfer;Asia;4/7/23
285;Headphones;Accessories;145728;7;26;Female;16;Credit Card;Asia;18/4/24
286;Smartphone;Electronics;18056;3;65;Female;16;Bank Transfer;North America;28/1/25
287;Laptop;Electronics;36944;10;43;Male;21;PayPal;South America;17/11/24
288;Smartwatch;Electronics;34055;1;41;Male;28;Credit Card;North America;20/6/23
289;Headphones;Accessories;12457;10;59;Male;4;Debit Card;South America;14/1/24
290;Smartwatch;Electronics;8969;3;45;Female;9;Debit Card;South America;18/12/24
291;Headphones;Accessories;20183;5;38;Male;21;PayPal;Asia;7/3/23
292;Headphones;Accessories;21807;10;36;Female;23;Bank Transfer;Africa;9/5/24
293;Headphones;Accessories;64863;2;25;Male;2;PayPal;Europe;27/2/23
294;Laptop;Electronics;140844;6;52;Female;6;Credit Card;South America;29/3/23
295;Headphones;Accessories;20129;1;37;Female;1;Credit Card;North America;10/3/24
296;Smartwatch;Electronics;94607;9;19;Male;13;Debit Card;Europe;24/5/23
297;Laptop;Electronics;18937;4;22;Male;23;PayPal;Africa;10/12/24
298;Smartphone;Electronics;112674;3;51;Male;9;Credit Card;North America;3/2/25
299;Headphones;Accessories;142698;8;53;Male;2;PayPal;Asia;27/3/24
300;Tablet;Electronics;59099;6;49;Male;7;Debit Card;North America;30/6/23
301;Smartphone;Electronics;2584;6;25;Male;16;Debit Card;North America;4/4/23
302;Smartwatch;Electronics;52472;8;39;Female;1;PayPal;Europe;13/7/24
303;Laptop;Electronics;31809;8;62;Female;24;PayPal;South America;19/2/23
304;Smartphone;Electronics;84536;4;41;Female;15;Credit Card;South America;28/12/24
305;Smartphone;Electronics;6033;6;57;Female;2;Debit Card;Europe;8/10/23
306;Headphones;Accessories;103951;1;33;Male;3;Bank Transfer;Africa;1/2/25
307;Laptop;Electronics;7219;10;47;Male;4;Credit Card;Asia;4/5/24
308;Laptop;Electronics;85826;5;25;Female;5;Debit Card;Africa;4/6/24
309;Headphones;Accessories;57243;9;18;Male;1;Bank Transfer;North America;9/11/24
310;Laptop;Electronics;23006;10;20;Female;27;PayPal;Europe;22/3/23
311;Tablet;Electronics;89953;6;28;Female;14;Credit Card;Africa;9/10/23
312;Smartwatch;Electronics;36727;6;56;Male;29;Debit Card;South America;10/12/24
313;Tablet;Electronics;32154;6;20;Female;16;Credit Card;North America;11/8/24
314;Smartphone;Electronics;110481;3;55;Male;15;Debit Card;Asia;8/10/23
315;Laptop;Electronics;33226;2;30;Male;28;Debit Card;North America;27/1/23
316;Smartwatch;Electronics;4630;7;64;Female;27;Debit Card;Europe;4/3/24
317;Headphones;Accessories;112304;4;64;Male;9;PayPal;Africa;10/12/24
318;Laptop;Electronics;74492;7;25;Male;29;Bank Transfer;Europe;4/6/23
319;Tablet;Electronics;91459;1;48;Female;1;PayPal;Asia;7/11/24
320;Tablet;Electronics;52266;5;35;Female;19;PayPal;North America;27/9/24
321;Headphones;Accessories;30253;9;50;Male;13;Bank Transfer;North America;21/1/23
322;Laptop;Electronics;7975;1;36;Male;1;Bank Transfer;Asia;17/1/24
323;Tablet;Electronics;50964;10;46;Female;1;Debit Card;North America;9/7/23
324;Tablet;Electronics;67655;8;19;Female;1;Credit Card;Asia;25/11/24
325;Laptop;Electronics;106487;4;60;Male;17;Credit Card;North America;18/5/24
326;Smartphone;Electronics;143565;4;25;Female;3;PayPal;Europe;9/7/23
327;Tablet;Electronics;84092;6;24;Male;24;Bank Transfer;Africa;5/5/24
328;Tablet;Electronics;32623;3;21;Female;19;Credit Card;North America;30/3/23
329;Smartphone;Electronics;35584;1;20;Female;19;Debit Card;Asia;10/10/24
330;Headphones;Accessories;69491;1;60;Female;9;Credit Card;Asia;8/1/23
331;Smartwatch;Electronics;70883;6;41;Male;26;Bank Transfer;North America;18/8/23
332;Tablet;Electronics;22557;4;27;Male;1;Debit Card;South America;23/11/24
333;Smartwatch;Electronics;140171;5;42;Female;5;PayPal;South America;20/5/24
334;Headphones;Accessories;144032;1;36;Male;14;Bank Transfer;South America;7/2/24
335;Smartphone;Electronics;144037;8;47;Female;5;PayPal;North America;22/8/24
336;Tablet;Electronics;51231;8;47;Female;14;Credit Card;South America;24/9/23
337;Headphones;Accessories;25208;3;23;Male;0;Credit Card;Africa;22/7/24
338;Smartphone;Electronics;118214;4;21;Male;3;Credit Card;Europe;15/7/24
339;Smartphone;Electronics;73351;4;30;Female;26;PayPal;North America;6/1/24
340;Tablet;Electronics;8826;10;25;Male;2;Debit Card;North America;8/9/23
341;Tablet;Electronics;111659;6;52;Female;5;PayPal;Asia;21/5/24
342;Smartwatch;Electronics;6236;8;32;Female;6;Debit Card;South America;15/9/23
343;Tablet;Electronics;116584;6;32;Male;9;PayPal;South America;6/4/24
